id,id_loc,province_state,country_region,lat,long,date,confirmed_to_date,new_confirmed,deaths_to_date,new_deaths,recovered_to_date,new_recovered
1983,79,,Lebanon,33.8547,35.8623,2020-02-02,0,0,0,0,0,0
1984,80,"Humboldt County, CA",US,40.745,-123.8695,2020-02-02,0,0,0,0,0,0
1985,81,"Sacramento County, CA",US,38.4747,-121.3542,2020-02-02,0,0,0,0,0,0
1986,82,,Iraq,33,44,2020-02-02,0,0,0,0,0,0
1987,83,Unassigned Location (From Diamond Princess),US,35.4437,139.638,2020-02-02,0,0,0,0,0,0
1988,84,,Oman,21,57,2020-02-02,0,0,0,0,0,0
1989,85,,Afghanistan,33,65,2020-02-02,0,0,0,0,0,0
1990,86,,Bahrain,26.0275,50.55,2020-02-02,0,0,0,0,0,0
1991,87,,Kuwait,29.5,47.75,2020-02-02,0,0,0,0,0,0
1992,88,,Algeria,28.0339,1.6596,2020-02-02,0,0,0,0,0,0
1993,89,,Croatia,45.1,15.2,2020-02-02,0,0,0,0,0,0
1994,90,,Switzerland,46.8182,8.2275,2020-02-02,0,0,0,0,0,0
1995,91,,Austria,47.5162,14.5501,2020-02-02,0,0,0,0,0,0
1996,92,,Israel,31,35,2020-02-02,0,0,0,0,0,0
1997,93,,Pakistan,30.3753,69.3451,2020-02-02,0,0,0,0,0,0
1998,94,,Brazil,-14.235,-51.9253,2020-02-02,0,0,0,0,0,0
1999,95,,Georgia,42.3154,43.3569,2020-02-02,0,0,0,0,0,0
2000,96,,Greece,39.0742,21.8243,2020-02-02,0,0,0,0,0,0
2001,97,,North Macedonia,41.6086,21.7453,2020-02-02,0,0,0,0,0,0
2002,98,,Norway,60.472,8.4689,2020-02-02,0,0,0,0,0,0
2003,99,,Romania,45.9432,24.9668,2020-02-02,0,0,0,0,0,0
2004,100,,Denmark,56.2639,9.5018,2020-02-02,0,0,0,0,0,0
2005,101,,Estonia,58.5953,25.0136,2020-02-02,0,0,0,0,0,0
2006,102,,Netherlands,52.1326,5.2913,2020-02-02,0,0,0,0,0,0
2007,103,,San Marino,43.9424,12.4578,2020-02-02,0,0,0,0,0,0
2008,104,,Belarus,53.7098,27.9534,2020-02-02,0,0,0,0,0,0
2009,105," Montreal, QC",Canada,45.5017,-73.5673,2020-02-02,0,0,0,0,0,0
